"N","min(C)","q1(C)","med(C)","q3(C)","max(C)","avg(C)","std(C)","min(Volume)","q1(Volume)","med(Volume)","q3(Volume)","max(Volume)","avg(Volume)","std(Volume)","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0.024626,0.024626,0.024626,0.024626,0.024626,0.024626,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.079
1,0.02463,0.02463,0.02463,0.02463,0.02463,0.02463,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.08
1,0.024638,0.024638,0.024638,0.024638,0.024638,0.024638,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.081
1,0.024649,0.024649,0.024649,0.024649,0.024649,0.024649,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.082
1,0.024661,0.024661,0.024661,0.024661,0.024661,0.024661,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.083
1,0.024675,0.024675,0.024675,0.024675,0.024675,0.024675,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.084
1,0.024691,0.024691,0.024691,0.024691,0.024691,0.024691,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.085
1,0.024708,0.024708,0.024708,0.024708,0.024708,0.024708,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.086
1,0.024727,0.024727,0.024727,0.024727,0.024727,0.024727,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.087
1,0.024747,0.024747,0.024747,0.024747,0.024747,0.024747,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.088
1,0.024766,0.024766,0.024766,0.024766,0.024766,0.024766,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.089
1,0.024785,0.024785,0.024785,0.024785,0.024785,0.024785,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.09
