"N","min(C)","q1(C)","med(C)","q3(C)","max(C)","avg(C)","std(C)","min(Area)","q1(Area)","med(Area)","q3(Area)","max(Area)","avg(Area)","std(Area)","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0.12124,0.12124,0.12124,0.12124,0.12124,0.12124,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0615
1,0.12123,0.12123,0.12123,0.12123,0.12123,0.12123,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.062
1,0.12122,0.12122,0.12122,0.12122,0.12122,0.12122,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0625
1,0.12121,0.12121,0.12121,0.12121,0.12121,0.12121,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.063
1,0.1212,0.1212,0.1212,0.1212,0.1212,0.1212,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0635
1,0.1212,0.1212,0.1212,0.1212,0.1212,0.1212,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.064
1,0.1212,0.1212,0.1212,0.1212,0.1212,0.1212,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0645
1,0.1212,0.1212,0.1212,0.1212,0.1212,0.1212,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.065
1,0.12121,0.12121,0.12121,0.12121,0.12121,0.12121,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0655
1,0.12122,0.12122,0.12122,0.12122,0.12122,0.12122,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.066
1,0.12124,0.12124,0.12124,0.12124,0.12124,0.12124,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0665
1,0.12125,0.12125,0.12125,0.12125,0.12125,0.12125,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.067
